tempo;receita;var_receita;mg_ebit;tx_imp_ebit;fci_rec;d_cap;div_liq;n_acoes
1Q05;;;;;;0,677836108;231489;3799644
2Q05;;;;;;0,573819923;152461;15018
3Q05;;;;;;0,145546592;-174759;24292
4Q05;1202128;;0,074047855;0,292658541;0,018196898;0,16305826;-175691;24292
1Q06;1258676;0,269014862;0,07804868;0,321535455;0,026380101;0,204890604;-30242;24292
2Q06;1343754;0,287637517;0,077696513;0,251396006;0,040554298;0,263684919;-21495;24292
3Q06;1418674;0,275575925;0,090820019;0,201615908;0,04768044;0,30673187;27887;24292
4Q06;1531238;0,265309057;0,08664623;0,230026531;0,052363512;0,369721814;31888;121852
1Q07;1612041;0,302914317;0,086287508;0,22231648;0,04461425;0,356192285;141728;121582
2Q07;1722053;0,288851547;0,096458704;0,228780244;0,035192877;0,356376242;112080;121582
3Q07;1819278;0,280359414;0,108969602;0,274527607;0,029105502;0,334259975;58078;121582
4Q07;1930939;0,207997184;0,114443802;0,258186113;0,030447881;0,374161375;52075;121582
1Q08;2015181;0,242384659;0,1149068;0,267017335;0,0309729;0,368853799;165954;121582
2Q08;2091056;0,154571864;0,112962541;0,274343701;0,03127702;0,394389396;217321;121582
3Q08;2158414;0,151703107;0,103617286;0,279732974;0,03796862;0,364946334;237596;121582
4Q08;2183407;0,038539707;0,101231699;0,283898113;0,034246478;0,368299043;236120;121596
1Q09;2170744;-0,029326281;0,091995316;0,281429565;0,027416867;0,323862472;264431;121611
2Q09;2217411;0,082341856;0,091368366;0,29350761;0,021460613;0,328623312;186804;121624
3Q09;2258352;0,080061404;0,090790037;0,298084441;0,009858073;0,320934893;87349;121804
4Q09;2363628;0,156313429;0,109257082;0,295349617;0,002103969;0,325270768;6318;121862
1Q10;2450228;0,2066165;0,119129248;0,306152424;0,00153904;0,313670178;24134;121862
2Q10;2538793;0,144380467;0,138359794;0,314222625;0,001295891;0,322164916;76114;121901
3Q10;2630355;0,165779787;0,146188342;0,323124055;0,006347052;0,299276964;17966;122056
4Q10;2751338;0,155351587;0,147009564;0,305936367;0,030680709;0,391285068;-27159;122349
1Q11;2844371;0,183956388;0,145347425;0,295884109;0,031603824;0,328588664;12214;122349
2Q11;2978811;0,191515701;0,146155966;0,266416459;0,043283041;0,337404034;275632;122537
3Q11;3076860;0,15228003;0,141003672;0,248591353;0,049292135;0,45801143;243926;122551
4T11;3238542;0,179696183;0,145939919;0,293009861;0,061437832;0,417237489;248674;122821
1Q12;3349051;0,184560939;0,138188866;0,282483924;0,07050863;0,419893277;347643;122821
2Q12;3468086;0,142315036;0,134305942;0,291746469;0,071794932;0,434608008;504603;123420
3Q12;3631222;0,219882953;0,137549288;0,282732566;0,071464372;0,502982726;540565;123528
4Q12;3862508;0,217899559;0,144789603;0,274331204;0,064556501;0,477318272;509093;124183
1Q13;3987028;0,175559303;0,139502406;0,271073355;0,051970039;0,475627127;676558;124184
2Q13;4091976;0,109840976;0,136644496;0,261615034;0,043462469;0,497129385;803201;124975
3Q13;4208353;0,128585129;0,132954151;0,265349819;0,05153362;0,572279114;944358;124975
4Q13;4370325;0,125295501;0,148830121;0,269526902;0,055992389;0,527543681;865771;125895
1Q14;4475429;0,126054814;0,153727263;0,270426207;0,061735239;0,526015282;931434;125895
2Q14;4670254;0,183727492;0,154163446;0,271806625;0,067543927;0,534117014;1077890;126024,315
3Q14;4853112;0,179020691;0,154786135;0,269862217;0,06407245;0,514468069;1141330;126156
4Q14;5216819;0,250023373;0,153743377;0,295186829;0,055458938;0,504517189;1054756;127394,565
1Q15;5451866;0,250342955;0,155705991;0,2928204;0,049562533;0,500457624;1200011;127394,565
2Q15;5733040;0,224002511;0,159314053;0,294357751;0,050367057;0,50042813;1310350;127839,565
3Q15;5949352;0,179617419;0,156001669;0,287124495;0,052236377;0,463631574;1319294;639375,325
